SectionID,SectionName,Question,QuestionIDMale,QuestionIDFemale,FieldID,ResponseID,VarName,Variable,ResponseType,Response,ResponseValue,DerivedVariable,VariableCalc
1,BackgroundAndHelpfulInformation,,,,1,1,Qbarcode,Questionnaire Barcode Label,Form Value,[Value],000000100-000999999,FALSE,
1,BackgroundAndHelpfulInformation,,,,2,2,Sex,Sex,Form Value,Male,1,FALSE,
1,BackgroundAndHelpfulInformation,,,,2,3,Sex,Sex,Form Value,Female,2,FALSE,
1,BackgroundAndHelpfulInformation,What is your date of birth?,1,1,5,8,DOBYear,Year of Birth,Write In (numeric),[Value],1900-1999,FALSE,
1,BackgroundAndHelpfulInformation,What is your date of birth?,1,1,5,9,DOBYear,Year of Birth,Write In (numeric),[No response],NULL,FALSE,
1,BackgroundAndHelpfulInformation,What is your current age?,2,2,6,10,Age,Age,Write In (numeric),[Value],18-99,FALSE,
1,BackgroundAndHelpfulInformation,What is your current age?,2,2,6,11,Age,Age,Write In (numeric),[No response],NULL,FALSE,
1,BackgroundAndHelpfulInformation,In what country were you born?,3,3,7,12,Country,Country of Birth,Write In (text),[Value],TEXT,FALSE,
1,BackgroundAndHelpfulInformation,In what country were you born?,3,3,7,13,Country,Country of Birth,Write In (text),[No response],NULL,FALSE,
1,BackgroundAndHelpfulInformation,"Do you consider yourself to be Spanish, Latino or Hispanic?",4,4,8,14,Ethn,"Spanish, Latino or Hispanic",Optical Mark Recognition,No,0,FALSE,
1,BackgroundAndHelpfulInformation,"Do you consider yourself to be Spanish, Latino or Hispanic?",4,4,8,15,Ethn,"Spanish, Latino or Hispanic",Optical Mark Recognition,Yes,1,FALSE,
1,BackgroundAndHelpfulInformation,"Do you consider yourself to be Spanish, Latino or Hispanic?",4,4,8,16,Ethn,"Spanish, Latino or Hispanic",Optical Mark Recognition,Don't know,77,FALSE,
